flight_date,unique_carrier,flight_num,arr_delay
02/01/2015 0:00,AA,1389,62
03/01/2015 0:00,AA,1389,199
04/01/2015 0:00,AA,1389,61
06/01/2015 0:00,AA,1389,-3
07/01/2015 0:00,AA,1389,-7
08/01/2015 0:00,AA,1389,16
09/01/2015 0:00,AA,1389,114
10/01/2015 0:00,AA,1389,2
11/01/2015 0:00,AA,1389,108
12/01/2015 0:00,AA,1389,0
13/01/2015 0:00,AA,1389,-20
14/01/2015 0:00,AA,1389,-23
02/01/2015 0:00,AA,1390,4
03/01/2015 0:00,AA,1390,-7
04/01/2015 0:00,AA,1390,-11
05/01/2015 0:00,AA,1390,2
06/01/2015 0:00,AA,1390,0
07/01/2015 0:00,AA,1390,-3
08/01/2015 0:00,AA,1390,5
09/01/2015 0:00,AA,1390,-7
10/01/2015 0:00,AA,1390,-4
11/01/2015 0:00,AA,1390,-9
12/01/2015 0:00,AA,1390,-13
13/01/2015 0:00,AA,1390,-5
14/01/2015 0:00,AA,1390,-11
02/01/2015 0:00,AA,1391,-6
03/01/2015 0:00,AA,1391,5
04/01/2015 0:00,AA,1391,131
05/01/2015 0:00,AA,1391,-1
06/01/2015 0:00,AA,1391,2
07/01/2015 0:00,AA,1391,-15
08/01/2015 0:00,AA,1391,-3
09/01/2015 0:00,AA,1391,12
10/01/2015 0:00,AA,1391,1
11/01/2015 0:00,AA,1391,67
12/01/2015 0:00,AA,1391,18
13/01/2015 0:00,AA,1391,-2
14/01/2015 0:00,AA,1391,-9
02/01/2015 0:00,AA,1311,0
03/01/2015 0:00,AA,1311,-7
04/01/2015 0:00,AA,1311,-5
05/01/2015 0:00,AA,1311,-11
06/01/2015 0:00,AA,1311,3
07/01/2015 0:00,AA,1311,-7
08/01/2015 0:00,AA,1311,149
09/01/2015 0:00,AA,1311,0
10/01/2015 0:00,AA,1311,1
11/01/2015 0:00,AA,1311,-6
12/01/2015 0:00,AA,1311,-10
13/01/2015 0:00,AA,1311,-17
14/01/2015 0:00,AA,1311,-26
02/01/2015 0:00,AA,1312,5
03/01/2015 0:00,AA,1312,-3
04/01/2015 0:00,AA,1312,3
05/01/2015 0:00,AA,1312,-7
06/01/2015 0:00,AA,1312,-10
07/01/2015 0:00,AA,1312,35
08/01/2015 0:00,AA,1312,94
09/01/2015 0:00,AA,1312,14
10/01/2015 0:00,AA,1312,47
11/01/2015 0:00,AA,1312,-10
12/01/2015 0:00,AA,1312,38
13/01/2015 0:00,AA,1312,2
14/01/2015 0:00,AA,1312,
02/01/2015 0:00,AA,1314,-25
04/01/2015 0:00,AA,1314,-5
05/01/2015 0:00,AA,1314,-29
08/01/2015 0:00,AA,1314,-10
09/01/2015 0:00,AA,1314,-35
11/01/2015 0:00,AA,1314,-8
12/01/2015 0:00,AA,1314,4
02/01/2015 0:00,AA,1314,-6
04/01/2015 0:00,AA,1314,12
05/01/2015 0:00,AA,1314,-6
08/01/2015 0:00,AA,1314,11
09/01/2015 0:00,AA,1314,-5
11/01/2015 0:00,AA,1314,11
12/01/2015 0:00,AA,1314,20
02/01/2015 0:00,AA,1315,-11
03/01/2015 0:00,AA,1315,-14
04/01/2015 0:00,AA,1315,-7
05/01/2015 0:00,AA,1315,22
06/01/2015 0:00,AA,1315,-16
07/01/2015 0:00,AA,1315,-17
08/01/2015 0:00,AA,1315,19
09/01/2015 0:00,AA,1315,-13
11/01/2015 0:00,AA,1315,-19
12/01/2015 0:00,AA,1315,-6
13/01/2015 0:00,AA,1315,-13
14/01/2015 0:00,AA,1315,39
02/01/2015 0:00,AA,1316,24
03/01/2015 0:00,AA,1316,-3
04/01/2015 0:00,AA,1316,0
05/01/2015 0:00,AA,1316,-1
06/01/2015 0:00,AA,1316,0
07/01/2015 0:00,AA,1316,-9
08/01/2015 0:00,AA,1316,7
09/01/2015 0:00,AA,1316,69
10/01/2015 0:00,AA,1316,6
11/01/2015 0:00,AA,1316,8
12/01/2015 0:00,AA,1316,18
13/01/2015 0:00,AA,1316,-19
14/01/2015 0:00,AA,1316,-11
02/01/2015 0:00,AA,1318,15
03/01/2015 0:00,AA,1318,12
04/01/2015 0:00,AA,1318,18
05/01/2015 0:00,AA,1318,-22
06/01/2015 0:00,AA,1318,-12
07/01/2015 0:00,AA,1318,-13
08/01/2015 0:00,AA,1318,-33
09/01/2015 0:00,AA,1318,-12
10/01/2015 0:00,AA,1318,-22
11/01/2015 0:00,AA,1318,-34
12/01/2015 0:00,AA,1318,0
13/01/2015 0:00,AA,1318,30
14/01/2015 0:00,AA,1318,-11
02/01/2015 0:00,AA,1320,24
03/01/2015 0:00,AA,1320,-3
04/01/2015 0:00,AA,1320,27
05/01/2015 0:00,AA,1320,-9
02/01/2015 0:00,AA,1320,23
03/01/2015 0:00,AA,1320,-5
04/01/2015 0:00,AA,1320,-28
05/01/2015 0:00,AA,1320,-21
06/01/2015 0:00,AA,1320,10
07/01/2015 0:00,AA,1320,-14
08/01/2015 0:00,AA,1320,-11
09/01/2015 0:00,AA,1320,167
10/01/2015 0:00,AA,1320,13
